id,legal_name,name,dob,email,phone,father_name,mother_name,husband_name,gender,blood_group,marital_status,present_address,permanent_address,devotional_status_id,gurudev_harinam,gurudev_pancharatrik,harinam_initiation_gurudev,pancharatrik_initiation_gurudev,initiated_name,harinam_date,pancharatrik_date,education,occupation,devotional_courses,additional_comments,shraddhakutir_id,created_at,updated_at,namhatta_id
48,"Mira Sarkar",,1951-10-10,mira.sarkar@example.com,+918554230094,"Pradip Mitra","Vidya Nair",,FEMALE,B+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Paschim Medinipur"",""subDistrict"":""Kharagpur"",""village"":""Kharagpur"",""postalCode"":""721301""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Paschim Medinipur"",""subDistrict"":""Kharagpur"",""village"":""Kharagpur"",""postalCode"":""721301""}",1,,,,,"Vrindavan Das",2012-04-01,,,Student,"[{""name"":""Course 8"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2024-10-30T15:50:28.248Z,CURRENT_TIMESTAMP,50
49,"Asha Thakur",,1996-04-28,asha.thakur@example.com,+911513419364,"Ajit Patel","Kamala Banerjee",,FEMALE,B-,,"{""country"":""India"",""state"":""Bihar"",""district"":""Gaya"",""subDistrict"":""Gaya"",""village"":""Gaya"",""postalCode"":""823001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Gaya"",""subDistrict"":""Gaya"",""village"":""Gaya"",""postalCode"":""823001""}",6,,,,,"Bharata Das",2007-08-01,,,"Government Service",[],,,2025-01-14T10:57:35.578Z,CURRENT_TIMESTAMP,51
50,"Pradip Mitra",,1994-10-05,pradip.mitra@example.com,+916635593215,"Jitendra Pillai","Lakshmi Jha","Suma Bose",MALE,A+,,"{""country"":""India"",""state"":""Bihar"",""district"":""Muzaffarpur"",""subDistrict"":""Muzaffarpur"",""village"":""Muzaffarpur"",""postalCode"":""842001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Muzaffarpur"",""subDistrict"":""Muzaffarpur"",""village"":""Muzaffarpur"",""postalCode"":""842001""}",4,,,,,"Govardhan Das",2002-10-10,,,Housewife,[],,,2025-04-05T00:27:14.839Z,CURRENT_TIMESTAMP,52
51,"Pushpa Choudhary",,1992-05-03,pushpa.choudhary@example.com,+912061234307,"Ashok Pandey","Shoba Kapoor",,FEMALE,A+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Malda"",""subDistrict"":""Malda"",""village"":""Malda"",""postalCode"":""732101""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Malda"",""subDistrict"":""Malda"",""village"":""Malda"",""postalCode"":""732101""}",1,,,,,"Mandodari Devi",2013-06-28,,,Business,[],,,2025-06-07T20:40:30.697Z,CURRENT_TIMESTAMP,53
52,"Nitin Joshi",,1983-03-18,nitin.joshi@example.com,+918453671460,"Tarun Chakraborty","Kamala Banerjee",,MALE,A+,,"{""country"":""India"",""state"":""Bihar"",""district"":""Darbhanga"",""subDistrict"":""Darbhanga"",""village"":""Darbhanga"",""postalCode"":""846001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Darbhanga"",""subDistrict"":""Darbhanga"",""village"":""Darbhanga"",""postalCode"":""846001""}",1,,,,,"Narada Das",2006-11-12,,,Farmer,"[{""name"":""Course 1"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-01-30T22:08:15.478Z,CURRENT_TIMESTAMP,54
53,"Santosh Kumar",,1955-03-06,santosh.kumar@example.com,+919793665718,"Naresh Sinha","Vijaya Nath","Lalita Reddy",MALE,B+,,"{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}",1,,,,,"Lakshmi Devi",2022-06-25,,,Doctor,[],,,2024-08-22T02:26:26.042Z,CURRENT_TIMESTAMP,55
54,"Devendra Nair",,1959-06-19,devendra.nair@example.com,+917839452286,"Bijoy Chatterjee","Ritu Mondal",,MALE,O-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Malda"",""subDistrict"":""Malda"",""village"":""Malda"",""postalCode"":""732101""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Malda"",""subDistrict"":""Malda"",""village"":""Malda"",""postalCode"":""732101""}",2,,,,,"Vrinda Devi",2003-09-22,,,"Government Service",[],,,2025-01-11T18:20:23.756Z,CURRENT_TIMESTAMP,56
55,"Priya Tiwari",,1988-02-27,priya.tiwari@example.com,+917080707689,"Sanjib Mondal","Malati Chatterjee","Sachin Rana",FEMALE,A+,,"{""country"":""India"",""state"":""Odisha"",""district"":""Balasore"",""subDistrict"":""Balasore"",""village"":""Balasore"",""postalCode"":""756001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Balasore"",""subDistrict"":""Balasore"",""village"":""Balasore"",""postalCode"":""756001""}",3,,,,,"Bharata Das",2013-09-16,,,Housewife,[],,,2024-08-31T00:09:48.181Z,CURRENT_TIMESTAMP,57
56,"Meera Singh",,1955-10-09,meera.singh@example.com,+915745298834,"Sushil Kapoor","Kali Das","Partha Sarkar",FEMALE,O+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Mayapur"",""village"":""Mayapur"",""postalCode"":""741313""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Bokaro"",""subDistrict"":""Bokaro"",""village"":""Bokaro"",""postalCode"":""827001""}",7,,,,,"Arjuna Das",2000-01-05,,,Engineer,[],,,2025-06-04T00:52:39.614Z,CURRENT_TIMESTAMP,58
57,"Meera Singh",,1994-12-22,meera.singh@example.com,+916159137251,"Swapan Biswas","Lakshmi Jha",,FEMALE,A-,,"{""country"":""India"",""state"":""Odisha"",""district"":""Cuttack"",""subDistrict"":""Cuttack"",""village"":""Cuttack"",""postalCode"":""753001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Cuttack"",""subDistrict"":""Cuttack"",""village"":""Cuttack"",""postalCode"":""753001""}",3,,,,,"Sita Devi",2006-04-21,,,Engineer,[],,,2024-08-03T23:34:36.290Z,CURRENT_TIMESTAMP,59
58,"Sushma Rana",,1991-12-02,sushma.rana@example.com,+913086835338,"Mukesh Agarwal","Usha Kumar","Devendra Nair",FEMALE,AB-,,"{""country"":""India"",""state"":""Bihar"",""district"":""Darbhanga"",""subDistrict"":""Darbhanga"",""village"":""Darbhanga"",""postalCode"":""846001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Darbhanga"",""subDistrict"":""Darbhanga"",""village"":""Darbhanga"",""postalCode"":""846001""}",1,,,,,"Saraswati Devi",2001-02-23,,,"Government Service",[],,,2024-11-13T02:00:17.046Z,CURRENT_TIMESTAMP,60
59,"Vijaya Nath",,1956-09-09,vijaya.nath@example.com,+917112707594,"Jitendra Pillai","Malati Chatterjee",,FEMALE,AB+,,"{""country"":""India"",""state"":""Bihar"",""district"":""Bhagalpur"",""subDistrict"":""Bhagalpur"",""village"":""Bhagalpur"",""postalCode"":""812001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Bhagalpur"",""subDistrict"":""Bhagalpur"",""village"":""Bhagalpur"",""postalCode"":""812001""}",3,,,,,,,,,Doctor,[],,,2025-02-04T20:53:05.780Z,CURRENT_TIMESTAMP,61
60,"Ravi Singh",,1997-12-21,ravi.singh@example.com,+916183958711,"Ashok Pandey","Kali Das","Sharda Pillai",MALE,AB+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Howrah"",""village"":""Howrah"",""postalCode"":""711101""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Howrah"",""village"":""Howrah"",""postalCode"":""711101""}",2,,,,,"Sahadeva Das",2000-04-16,,,Farmer,"[{""name"":""Course 2"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2024-08-26T10:32:45.681Z,CURRENT_TIMESTAMP,62
61,"Dinesh Roy",,1993-07-26,dinesh.roy@example.com,+915581092364,"Mahendra Prasad","Savita Babu","Ruma Chakraborty",MALE,O-,,"{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Mayapur"",""village"":""Mayapur"",""postalCode"":""741313""}",7,,,,,,,,,Housewife,"[{""name"":""Course 2"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-03-04T08:03:23.421Z,CURRENT_TIMESTAMP,63
62,"Lakshmi Jha",,1958-02-24,lakshmi.jha@example.com,+915903900780,"Sushil Kapoor","Malati Chatterjee",,FEMALE,AB+,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Dhanbad"",""subDistrict"":""Dhanbad"",""village"":""Dhanbad"",""postalCode"":""826001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Dhanbad"",""subDistrict"":""Dhanbad"",""village"":""Dhanbad"",""postalCode"":""826001""}",5,,,,,"Rukmini Devi",2009-04-24,,,Farmer,"[{""name"":""Course 6"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-02-22T17:02:30.387Z,CURRENT_TIMESTAMP,64
63,"Amit Sharma",,1975-03-22,amit.sharma@example.com,+917147781374,"Pankaj Das","Rekha Gupta","Suma Bose",MALE,O-,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Deoghar"",""subDistrict"":""Deoghar"",""village"":""Deoghar"",""postalCode"":""814001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Deoghar"",""subDistrict"":""Deoghar"",""village"":""Deoghar"",""postalCode"":""814001""}",2,,,,,"Rukmini Devi",2021-06-22,,,Housewife,[],,,2025-01-15T23:20:52.691Z,CURRENT_TIMESTAMP,65
64,"Kamla Bhardwaj",,1974-05-28,kamla.bhardwaj@example.com,+913395484920,"Rohit Thakur","Lalita Reddy",,FEMALE,B-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Krishnanagar"",""village"":""Krishnanagar"",""postalCode"":""741101""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Krishnanagar"",""village"":""Krishnanagar"",""postalCode"":""741101""}",1,,,,,"Garuda Das",2004-07-04,,,Farmer,[],,,2025-06-16T08:30:43.526Z,CURRENT_TIMESTAMP,66
65,"Tarun Chakraborty",,1992-11-20,tarun.chakraborty@example.com,+914323597069,"Rajesh Kumar","Pushpa Choudhary","Kali Das",MALE,A+,,"{""country"":""India"",""state"":""Bihar"",""district"":""Muzaffarpur"",""subDistrict"":""Muzaffarpur"",""village"":""Muzaffarpur"",""postalCode"":""842001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Muzaffarpur"",""subDistrict"":""Muzaffarpur"",""village"":""Muzaffarpur"",""postalCode"":""842001""}",2,,,,,,,,,Farmer,[],,,2025-01-04T07:58:14.030Z,CURRENT_TIMESTAMP,67
66,"Shyama Mukherjee",,1997-07-13,shyama.mukherjee@example.com,+913880789843,"Mukesh Agarwal","Lata Shah","Tarun Chakraborty",FEMALE,AB+,,"{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}",2,,,,,"Rukmini Devi",2001-02-15,,,Doctor,[],,,2024-09-10T19:09:31.848Z,CURRENT_TIMESTAMP,68
67,"Narendra Reddy",,1983-08-01,narendra.reddy@example.com,+911111164318,"Sushil Kapoor","Parvati Ghosh",,MALE,AB-,,"{""country"":""India"",""state"":""Bihar"",""district"":""Gaya"",""subDistrict"":""Gaya"",""village"":""Gaya"",""postalCode"":""823001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Gaya"",""subDistrict"":""Gaya"",""village"":""Gaya"",""postalCode"":""823001""}",5,,,,,,,,,Engineer,"[{""name"":""Course 5"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-07-02T06:49:28.623Z,CURRENT_TIMESTAMP,69
68,"Deepak Verma",,1982-10-27,deepak.verma@example.com,+919190626030,"Tapan Mukherjee","Shyama Mukherjee","Indira Prasad",MALE,O+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Malda"",""subDistrict"":""Malda"",""village"":""Malda"",""postalCode"":""732101""}","{""country"":""India"",""state"":""Odisha"",""district"":""Ganjam"",""subDistrict"":""Berhampur"",""village"":""Berhampur"",""postalCode"":""760001""}",4,,,,,,,,,Housewife,"[{""name"":""Course 9"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-02-06T21:09:17.332Z,CURRENT_TIMESTAMP,70
69,"Sunil Gupta",,1953-12-20,sunil.gupta@example.com,+919527393058,"Upendra Rao","Vijaya Nath","Usha Kumar",MALE,A-,,"{""country"":""India"",""state"":""Bihar"",""district"":""Bhagalpur"",""subDistrict"":""Bhagalpur"",""village"":""Bhagalpur"",""postalCode"":""812001""}","{""country"":""India"",""state"":""Bihar"",""district"":""Bhagalpur"",""subDistrict"":""Bhagalpur"",""village"":""Bhagalpur"",""postalCode"":""812001""}",7,,,,,"Vibhishana Das",2005-07-10,,,Business,[],,,2025-03-02T08:29:53.992Z,CURRENT_TIMESTAMP,71
70,"Lalita Reddy",,1986-08-09,lalita.reddy@example.com,+913244650832,"Mukesh Agarwal","Lata Shah","Rajendra Nath",FEMALE,B+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Salt Lake"",""village"":""Salt Lake City"",""postalCode"":""700064""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Salt Lake"",""village"":""Salt Lake City"",""postalCode"":""700064""}",5,,,,,"Mandodari Devi",2020-11-23,,,Retired,"[{""name"":""Course 6"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-03-17T16:01:16.539Z,CURRENT_TIMESTAMP,72
71,"Dipak Dutta",,1950-06-24,dipak.dutta@example.com,+915453840879,"Ranjan Pal","Sunanda Rao","Shanti Pandey",MALE,A-,,"{""country"":""India"",""state"":""Odisha"",""district"":""Puri"",""subDistrict"":""Puri"",""village"":""Puri"",""postalCode"":""752001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Puri"",""subDistrict"":""Puri"",""village"":""Puri"",""postalCode"":""752001""}",7,,,,,,,,,Retired,[],,,2024-08-06T14:18:49.063Z,CURRENT_TIMESTAMP,73
72,"Priya Tiwari",,1968-02-18,priya.tiwari@example.com,+915848402103,"Santosh Kumar","Meera Singh",,FEMALE,B+,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Dhanbad"",""subDistrict"":""Dhanbad"",""village"":""Dhanbad"",""postalCode"":""826001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Dhanbad"",""subDistrict"":""Dhanbad"",""village"":""Dhanbad"",""postalCode"":""826001""}",2,,,,,"Kunti Devi",2001-05-26,,,Doctor,"[{""name"":""Course 2"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2024-11-11T00:24:27.111Z,CURRENT_TIMESTAMP,74
73,"Sanjib Mondal",,1960-03-17,sanjib.mondal@example.com,+914370468374,"Santosh Kumar","Sita Agarwal",,MALE,O-,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Deoghar"",""subDistrict"":""Deoghar"",""village"":""Deoghar"",""postalCode"":""814001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Khordha"",""subDistrict"":""Bhubaneswar"",""village"":""Bhubaneswar"",""postalCode"":""751001""}",1,,,,,"Radha Govinda Das",2021-07-26,,,Business,[],,,2024-07-26T21:45:46.677Z,CURRENT_TIMESTAMP,75
74,"Upendra Rao",,1976-04-27,upendra.rao@example.com,+914412031537,"Vikash Choudhary","Sharda Pillai",,MALE,B-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Darjeeling"",""subDistrict"":""Darjeeling"",""village"":""Darjeeling"",""postalCode"":""734101""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Darjeeling"",""subDistrict"":""Darjeeling"",""village"":""Darjeeling"",""postalCode"":""734101""}",7,,,,,"Sita Devi",2011-10-02,,,Student,[],,,2025-02-01T19:57:11.664Z,CURRENT_TIMESTAMP,76
75,"Pankaj Das",,1995-11-21,pankaj.das@example.com,+912829142712,"Sushil Kapoor","Sita Agarwal","Kali Das",MALE,A+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Ballygunge"",""village"":""Ballygunge"",""postalCode"":""700019""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Ballygunge"",""village"":""Ballygunge"",""postalCode"":""700019""}",7,,,,,"Bharata Das",2022-08-22,,,"Government Service",[],,,2025-04-29T01:25:18.874Z,CURRENT_TIMESTAMP,77
76,"Debasis Majumdar",,1966-04-24,debasis.majumdar@example.com,+914874629239,"Anand Ghosh","Malati Chatterjee","Kavita Mishra",MALE,AB+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Mayapur"",""village"":""Mayapur"",""postalCode"":""741313""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Mayapur"",""village"":""Mayapur"",""postalCode"":""741313""}",4,,,,,"Garuda Das",2005-01-14,,,Retired,"[{""name"":""Course 7"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2024-09-20T20:12:47.189Z,CURRENT_TIMESTAMP,78
77,"Partha Sarkar",,1961-11-01,partha.sarkar@example.com,+911064492372,"Pankaj Das","Vijaya Nath",,MALE,A-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Ballygunge"",""village"":""Ballygunge"",""postalCode"":""700019""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Ballygunge"",""village"":""Ballygunge"",""postalCode"":""700019""}",1,,,,,,,,,Doctor,[],,,2025-06-30T23:40:27.629Z,CURRENT_TIMESTAMP,79
78,"Sunita Devi",,1979-09-16,sunita.devi@example.com,+911264949079,"Tarun Chakraborty","Lakshmi Jha",,FEMALE,O-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Darjeeling"",""subDistrict"":""Darjeeling"",""village"":""Darjeeling"",""postalCode"":""734101""}","{""country"":""India"",""state"":""Bihar"",""district"":""Muzaffarpur"",""subDistrict"":""Muzaffarpur"",""village"":""Muzaffarpur"",""postalCode"":""842001""}",2,,,,,"Bharata Das",2017-11-26,,,Doctor,[],,,2024-12-15T01:35:06.637Z,CURRENT_TIMESTAMP,80
79,"Durga Roy",,1992-05-01,durga.roy@example.com,+911932982299,"Debasis Majumdar","Geeta Sharma","Nirmal Bose",FEMALE,AB+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Darjeeling"",""subDistrict"":""Darjeeling"",""village"":""Darjeeling"",""postalCode"":""734101""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Darjeeling"",""subDistrict"":""Darjeeling"",""village"":""Darjeeling"",""postalCode"":""734101""}",5,,,,,"Saraswati Devi",2002-04-28,,,Student,[],,,2025-03-19T09:12:39.679Z,CURRENT_TIMESTAMP,81
80,"Rajendra Nath",,1988-05-18,rajendra.nath@example.com,+911970672071,"Rajendra Nath","Pushpa Choudhary","Geeta Sharma",MALE,B+,,"{""country"":""India"",""state"":""Odisha"",""district"":""Cuttack"",""subDistrict"":""Cuttack"",""village"":""Cuttack"",""postalCode"":""753001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Cuttack"",""subDistrict"":""Cuttack"",""village"":""Cuttack"",""postalCode"":""753001""}",6,,,,,,,,,Housewife,[],,,2024-10-23T14:19:46.007Z,CURRENT_TIMESTAMP,82
81,"Suma Bose",,1969-01-05,suma.bose@example.com,+912160815791,"Rajendra Nath","Kamla Bhardwaj","Nirmal Bose",FEMALE,AB-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Darjeeling"",""subDistrict"":""Darjeeling"",""village"":""Darjeeling"",""postalCode"":""734101""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Darjeeling"",""subDistrict"":""Darjeeling"",""village"":""Darjeeling"",""postalCode"":""734101""}",3,,,,,"Govardhan Das",2005-02-21,,,Teacher,"[{""name"":""Course 10"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-04-07T11:27:33.631Z,CURRENT_TIMESTAMP,83
82,"Nirmal Bose",,1986-09-22,nirmal.bose@example.com,+911210887280,"Vikash Choudhary","Usha Kumar","Shoba Kapoor",MALE,O-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Ranaghat"",""village"":""Ranaghat"",""postalCode"":""741201""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Ranaghat"",""village"":""Ranaghat"",""postalCode"":""741201""}",7,,,,,,,,,Business,"[{""name"":""Course 3"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-03-09T18:49:54.565Z,CURRENT_TIMESTAMP,84
83,"Usha Kumar",,1977-08-28,usha.kumar@example.com,+911801539485,"Pankaj Das","Kamala Banerjee",,FEMALE,A+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Ballygunge"",""village"":""Ballygunge"",""postalCode"":""700019""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Ballygunge"",""village"":""Ballygunge"",""postalCode"":""700019""}",5,,,,,"Vrindavan Das",2010-01-05,,,Retired,[],,,2024-12-18T13:57:44.522Z,CURRENT_TIMESTAMP,85
84,"Surendra Babu",,1954-08-12,surendra.babu@example.com,+916661946504,"Kiran Shah","Vijaya Nath",,MALE,B-,,"{""country"":""India"",""state"":""Odisha"",""district"":""Puri"",""subDistrict"":""Puri"",""village"":""Puri"",""postalCode"":""752001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Puri"",""subDistrict"":""Puri"",""village"":""Puri"",""postalCode"":""752001""}",3,,,,,,,,,Doctor,[],,,2024-08-09T00:32:37.583Z,CURRENT_TIMESTAMP,86
85,"Manoj Yadav",,1956-06-15,manoj.yadav@example.com,+918653442438,"Tarun Chakraborty","Bela Sengupta",,MALE,A-,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Jamshedpur"",""subDistrict"":""Jamshedpur"",""village"":""Jamshedpur"",""postalCode"":""831001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Jamshedpur"",""subDistrict"":""Jamshedpur"",""village"":""Jamshedpur"",""postalCode"":""831001""}",2,,,,,"Nakula Das",2008-04-10,,,Retired,[],,,2024-12-19T20:07:14.258Z,CURRENT_TIMESTAMP,87
86,"Rajendra Nath",,1986-10-13,rajendra.nath@example.com,+914212720613,"Rajesh Kumar","Kamla Bhardwaj",,MALE,AB+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Ballygunge"",""village"":""Ballygunge"",""postalCode"":""700019""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Kolkata"",""subDistrict"":""Howrah"",""village"":""Howrah"",""postalCode"":""711101""}",7,,,,,,,,,Farmer,[],,,2024-11-11T07:05:05.376Z,CURRENT_TIMESTAMP,88
87,"Deepak Verma",,1987-06-18,deepak.verma@example.com,+917347403326,"Bijoy Chatterjee","Shyama Mukherjee","Ruma Chakraborty",MALE,AB+,,"{""country"":""India"",""state"":""Odisha"",""district"":""Cuttack"",""subDistrict"":""Cuttack"",""village"":""Cuttack"",""postalCode"":""753001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Cuttack"",""subDistrict"":""Cuttack"",""village"":""Cuttack"",""postalCode"":""753001""}",1,,,,,"Shatrughna Das",2020-02-15,,,Doctor,[],,,2024-09-07T17:24:19.516Z,CURRENT_TIMESTAMP,89
88,"Lila Dutta",,1964-09-15,lila.dutta@example.com,+918788111851,"Ashok Pandey","Kamala Banerjee","Debasis Majumdar",FEMALE,A-,,"{""country"":""India"",""state"":""Odisha"",""district"":""Puri"",""subDistrict"":""Puri"",""village"":""Puri"",""postalCode"":""752001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Puri"",""subDistrict"":""Puri"",""village"":""Puri"",""postalCode"":""752001""}",3,,,,,"Ganga Devi",2011-09-02,,,Business,[],,,2024-11-20T13:00:51.105Z,CURRENT_TIMESTAMP,90
89,"Dipak Dutta",,1980-01-18,dipak.dutta@example.com,+912640643713,"Rohit Thakur","Kali Das","Lila Dutta",MALE,B+,,"{""country"":""India"",""state"":""Odisha"",""district"":""Balasore"",""subDistrict"":""Balasore"",""village"":""Balasore"",""postalCode"":""756001""}","{""country"":""India"",""state"":""Odisha"",""district"":""Balasore"",""subDistrict"":""Balasore"",""village"":""Balasore"",""postalCode"":""756001""}",7,,,,,,,,,Doctor,"[{""name"":""Course 3"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-03-30T14:07:14.846Z,CURRENT_TIMESTAMP,91
90,"Durga Roy",,1965-08-06,durga.roy@example.com,+917651750767,"Tapan Mukherjee","Anjali Yadav",,FEMALE,AB+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Paschim Medinipur"",""subDistrict"":""Kharagpur"",""village"":""Kharagpur"",""postalCode"":""721301""}","{""country"":""India"",""state"":""Odisha"",""district"":""Cuttack"",""subDistrict"":""Cuttack"",""village"":""Cuttack"",""postalCode"":""753001""}",1,,,,,"Kunti Devi",2020-03-28,,,Housewife,"[{""name"":""Course 9"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-01-26T01:06:17.819Z,CURRENT_TIMESTAMP,92
91,"Anand Ghosh",,1958-10-20,anand.ghosh@example.com,+913862920194,"Ajit Patel","Nila Pal",,MALE,O-,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Krishnanagar"",""village"":""Krishnanagar"",""postalCode"":""741101""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Nadia"",""subDistrict"":""Krishnanagar"",""village"":""Krishnanagar"",""postalCode"":""741101""}",6,,,,,"Ganga Devi",2023-11-03,,,Housewife,[],,,2024-07-27T02:54:34.751Z,CURRENT_TIMESTAMP,93
92,"Partha Sarkar",,1950-07-25,partha.sarkar@example.com,+916379396748,"Goutam Sengupta","Geeta Sharma",,MALE,B+,,"{""country"":""India"",""state"":""Jharkhand"",""district"":""Bokaro"",""subDistrict"":""Bokaro"",""village"":""Bokaro"",""postalCode"":""827001""}","{""country"":""India"",""state"":""Jharkhand"",""district"":""Bokaro"",""subDistrict"":""Bokaro"",""village"":""Bokaro"",""postalCode"":""827001""}",1,,,,,"Hanuman Das",2017-10-16,,,Farmer,"[{""name"":""Course 6"",""date"":""2025-07-11"",""institute"":""ISKCON""}]",,,2025-06-29T20:44:59.837Z,CURRENT_TIMESTAMP,94
93,"Samir Bhattacharya",,1991-03-16,samir.bhattacharya@example.com,+918669140513,"Ranjan Pal","Malati Chatterjee",,MALE,B+,,"{""country"":""India"",""state"":""West Bengal"",""district"":""Malda"",""subDistrict"":""Malda"",""village"":""Malda"",""postalCode"":""732101""}","{""country"":""India"",""state"":""West Bengal"",""district"":""Malda"",""subDistrict"":""Malda"",""village"":""Malda"",""postalCode"":""732101""}",4,,,,,,,,,Teacher,[],,,2025-05-26T06:25:33.669Z,CURRENT_TIMESTAMP,95
